dim,scenario,seed,margin,reactiveOK,fallback,kind,iters,escapes,sideFlips,cycles,time,length
3d,狭窄,20261909,0.50,1,0,reactiveOnly,52,1,8,8,0.0051,341.292
3d,狭窄,20261910,0.50,1,0,reactiveOnly,52,1,8,8,0.0047,341.292
3d,悬空,20261901,0.50,1,0,reactiveOnly,44,0,5,5,0.0059,315.128
3d,悬空,20261902,0.50,1,0,reactiveOnly,44,0,5,5,0.0060,315.128
3d,悬空,20261903,0.50,1,0,reactiveOnly,44,0,5,5,0.0032,315.128
3d,悬空,20261904,0.50,1,0,reactiveOnly,44,0,5,5,0.0023,315.128
3d,悬空,20261905,0.50,1,0,reactiveOnly,44,0,5,5,0.0023,315.128
3d,悬空,20261906,0.50,1,0,reactiveOnly,44,0,5,5,0.0050,315.128
3d,悬空,20261907,0.50,1,0,reactiveOnly,44,0,5,5,0.0034,315.128
3d,悬空,20261908,0.50,1,0,reactiveOnly,44,0,5,5,0.0063,315.128
3d,悬空,20261909,0.50,1,0,reactiveOnly,44,0,5,5,0.0032,315.128
3d,悬空,20261910,0.50,1,0,reactiveOnly,44,0,5,5,0.0027,315.128
3d,环廊,20261901,0.50,1,0,reactiveOnly,45,0,5,5,0.0062,273.754
3d,环廊,20261902,0.50,1,0,reactiveOnly,45,0,5,5,0.0068,273.754
3d,环廊,20261903,0.50,1,0,reactiveOnly,45,0,5,5,0.0098,273.754
3d,环廊,20261904,0.50,1,0,reactiveOnly,45,0,5,5,0.0091,273.754
3d,环廊,20261905,0.50,1,0,reactiveOnly,45,0,5,5,0.0080,273.754
3d,环廊,20261906,0.50,1,0,reactiveOnly,45,0,5,5,0.0055,273.754
3d,环廊,20261907,0.50,1,0,reactiveOnly,45,0,5,5,0.0057,273.754
3d,环廊,20261908,0.50,1,0,reactiveOnly,45,0,5,5,0.0043,273.754
3d,环廊,20261909,0.50,1,0,reactiveOnly,45,0,5,5,0.0038,273.754
3d,环廊,20261910,0.50,1,0,reactiveOnly,45,0,5,5,0.0039,273.754
3d,悬挑,20261901,0.50,0,0,reactiveOnly,2500,1,2,2,0.1769,NaN
